Sample nbr,Eff pressure,Corr poros,Vp dry,Vs dry,Vp wet,Vs wet
1659.16,15,0.335,2.142,1.433,2.467,1.197
1656.1,15,0.341,2.13,1.408,2.52,1.231
1693.6,15,0.347,2.009,1.31,2.504,
1695.05,15,0.364,1.996,1.293,2.449,1.118
1691,15,0.358,2.185,1.306,2.494,1.124
1668.25,15,0.317,2.023,1.377,2.392,1.126
1654.15,15,0.354,2.111,1.382,2.393,
1652.15,15,0.374,1.839,1.208,2.341,1.119
1650.2,15,0.336,1.985,1.378,2.42,1.225
1683.25,15,0.34,,1.276,2.552,1.26
1681.18,15,0.365,2.179,1.399,2.518,1.293
1679.1,15,0.315,2.232,1.433,2.561,1.216
1677.15,15,0.272,2.149,1.37,2.414,1.161
1675.06,15,0.356,1.965,1.297,2.351,
1664.91,15,0.307,2.249,1.465,2.735,
1708.1,15,0.244,2.327,1.55,2.728,1.326
1737.1,15,0.246,2.461,1.66,2.85,1.419
1739.1,15,0.3,2.345,1.52,2.712,1.374
1699.1,15,0.253,2.367,1.617,2.775,1.386
1706.1,15,0.26,2.366,1.597,2.853,1.42
1735.1,15,0.305,2.195,1.481,2.544,1.269
1701.9,15,0.279,2.428,1.67,2.786,1.4
1741.1,15,0.24,2.588,1.732,3.036,1.571
1703.1,15,0.232,2.424,1.579,2.871,1.421
1745.1,15,0.274,2.553,1.636,2.924,1.572
1717.9,15,0.335,2.118,1.379,2.338,1.169
1697.9,15,0.326,2.056,1.336,2.403,1.159
1666.2,15,0.329,2.19,1.363,2.504,1.178
1721.1,15,0.34,1.986,1.283,2.433,1.12
1719.1,15,0.314,2.218,1.409,2.425,
1725.1,15,0.354,2.179,1.449,2.666,1.196
1723.64,15,0.358,2.114,1.376,2.563,1.129
1731.3,15,0.325,2.142,1.401,2.572,1.11
1729.1,15,0.269,2.363,1.576,2.862,1.329
1672,15,0.339,1.999,1.317,2.551,1.142
1689,15,0.347,2.018,1.318,2.555,1.175
1685.12,15,0.347,2.13,1.417,2.647,1.153
1670.45,15,0.302,2.021,1.375,2.412,
