Sample nbr,quartz,mica,feldspar,remainder,grainsize,grain density
1650.2,61.8,11,26,1.2,0.1,2.648
1652.15,70.8,2.4,25.8,1,0.2,2.586
1654.15,67.6,7.2,23.6,1.6,0.2,2.63
1656.1,67.6,12.8,19.2,0.4,0.2,2.638
1659.16,58.6,24,15.8,1.6,0.1,2.634
1664.91,50,28.2,21,0.8,0.1,2.624
1666.2,48.4,30,21.6,0,0.1,2.635
1668.25,73.8,3.2,23,0,0.3,2.656
1670.45,78,1,20.6,0.4,0.4,2.606
1672,66,3.8,29.4,0.8,0.3,2.598
1675.06,63.8,8.6,26.6,1,0.2,2.588
1677.15,50.4,12.2,37.2,0.2,0.2,2.481
1679.1,52.4,18,28.4,1.2,0.2,2.526
1681.18,72.4,8.6,19,0,0.2,2.639
1683.25,69.2,3,23,4.8,0.3,2.646
1685.12,69.8,2,28.2,0,0.3,2.616
1689,71.6,2.4,25.8,0.2,0.2,2.611
1691,68,12,19.4,0.6,0.2,2.647
1693.6,67,11,21,1,0.2,2.617
1695.05,63.8,7.8,27.6,0.8,0.2,2.578
1697.9,59.8,13,26.4,0.8,0.2,2.608
1699.1,62.8,10.2,26.2,0.8,0.2,2.59
1701.9,57.4,20.2,21.8,0.6,0.1,2.628
1703.1,56,23,20.2,0.8,0.1,2.539
1706.1,53,30.6,16.4,0,0.1,2.484
1708.1,60,20,19.2,0.8,0.1,2.516
1717.9,79,1.8,19.2,0,0.5,2.627
1719.1,78.4,1.6,18.8,1.2,0.4,2.633
1721.1,75,2.2,22.4,0.4,0.4,2.639
1723.64,75,2,22,1,0.4,2.637
1725.1,74.8,1.6,22.6,1,0.4,2.645
1729.1,77.2,0.8,22,0,0.5,2.611
1731.3,79.2,2.6,17.6,0.6,0.3,2.559
1735.1,68.6,10.8,20.2,0.4,0.1,2.563
1737.1,57.2,24.4,17.4,1,0.1,2.565
1739.1,56.8,26.8,14.6,1.8,0.1,2.573
1741.1,50.8,29.6,19,0.6,0.1,2.603
1745.1,58.6,29.6,10.8,1,0.1,2.594
