Eff pressure,Direction,Sand,Clay,Vp_dry,Vs_dry,Vp_wet,Vs_wet
10,up,100,0,,,,
15,up,100,0,,,,
20,up,100,0,,,,
30,up,100,0,,,,
40,up,100,0,,,,
50,up,100,0,,,,
10,down,100,0,,,,
15,down,100,0,,,,
20,down,100,0,,,,
30,down,100,0,,,,
40,down,100,0,,,,
50,down,100,0,,,,
10,up,100,0,,,,
15,up,100,0,,,,
20,up,100,0,,,,
30,up,100,0,,,,
40,up,100,0,,,,
50,up,100,0,,,,
10,down,100,0,,,,
15,down,100,0,,,,
20,down,100,0,,,,
30,down,100,0,,,,
40,down,100,0,,,,
50,down,100,0,,,,
10,up,100,0,,,,
15,up,100,0,,,,
20,up,100,0,,,,
30,up,100,0,,,,
40,up,100,0,,,,
50,up,100,0,,,,
10,down,100,0,,,,
15,down,100,0,,,,
20,down,100,0,,,,
30,down,100,0,,,,
40,down,100,0,,,,
50,down,100,0,,,,
10,up,100,0,,,,
15,up,100,0,,,,
20,up,100,0,,,,
30,up,100,0,,,,
40,up,100,0,,,,
50,up,100,0,,,,
10,down,100,0,,,,
15,down,100,0,,,,
20,down,100,0,,,,
30,down,100,0,,,,
40,down,100,0,,,,
50,down,100,0,,,,
